ra,dec,name,type,peak
330.537365,3.250669,220208.96_031502.4,Gauss,68.76
175.901984,21.098032,J114336.48_210552.9,Gauss,202.43
235.463403,42.232529,J154151.22_421357.09,Gauss,708.55
206.989452,7.467493,J134757.47_072802.9,Gauss,1529.68
346.943717,4.769732,J230746.49_044610.8,Gauss,1074.11
122.224636,53.674396,J080853.91_534027.75,Gauss,184.84
224.053467,30.801998,J145612.83_304807.0,Gauss,269.39
171.459258,43.745362,J112550.22_434443.24,Gauss,226.46
146.04304,34.846751,J094410.33_345048.3,Gauss,193.58
141.786316,40.952771,J092708.71_405709.9,Gauss,936.99
343.703785,5.275404,J225448.90_051631.3,Gauss,1900.85
188.511604,3.792291,J123402.79_034732.1,Gauss,981.66
247.419323,0.620924,162940.63_003715.3,Gauss,200.51
141.440699,28.178562,J092545.77_281042.8,Gauss,300.83
172.326336,34.864882,J112918.32_345153.3,Gauss,632.17
199.21514,33.624565,J131651.62_333728.4,Gauss,923.75
201.727959,21.523924,132654.71_213126.1,Gauss,1221.18
9.661783,6.629074,J003838.82_063744.5,Gauss,826.87
332.420379,22.653569,J220940.89_223912.93,Gauss,1827.05
18.598869,34.972507,J011423.73_345820.8,Gauss,163.21
192.848688,45.034197,J125123.68_450203.0,Gauss,787.34
178.591841,25.163601,J115422.05_250948.85,Gauss,554.31
175.191514,32.440573,J114045.96_322625.9,Gauss,478.76
22.889052,6.613741,J013133.37_063649.4,Gauss,1217.38
14.556913,39.199252,J005813.65_391157.2,Gauss,1218.67
198.672717,47.931772,131441.44_475554.4,Gauss,1439.59
166.460206,9.946953,J110550.44_095648.9,Gauss,220.37
133.952562,37.399301,J085548.61_372357.4,Gauss,1675.31
15.730617,44.189951,J010255.34_441123.7,Gauss,485.4
163.196409,58.257918,J105247.12_581528.4,Gauss,476.65
166.830708,1.633828,J110719.37_013801.8,Gauss,1122.13
230.310184,19.894271,J152114.44_195339.3,Gauss,56.68
164.742333,-1.769263,J105858.15-014609.3,Gauss,963.18
